,0
1960,6911
1961,6912
1962,6916
1963,6917
1964,6918
1965,6919
1966,6926
1967,6927
1968,6930
1969,6931
1970,6937
1971,6938
1972,6943
1973,6946
1974,6947
1975,6950
1976,6951
1977,6952
1978,6954
1979,6956
1980,6957
1981,6959
1982,6961
1983,6975
1984,6976
1985,6977
1986,6979
1987,6983
1988,6985
1989,6987
1990,6988
1991,6993
1992,6994
1993,6998
1994,6999
1995,7000
1996,7003
1997,7004
1998,7005
1999,7006
2000,7010
2001,7012
2002,7014
2003,7017
2004,7018
2005,7020
2006,7025
2007,7026
2008,7028
2009,7030
2010,7031
2011,7032
2012,7034
2013,7037
2014,7041
2015,7044
2016,7045
2017,7046
2018,7049
2019,7051
2020,7058
2021,7061
2022,7062
2023,7063
2024,7065
2025,7066
2026,7069
2027,7073
2028,7076
2029,7082
2030,7085
2031,7087
2032,7090
2033,7095
2034,7096
2035,7097
2036,7098
2037,7099
2038,7100
2039,7103
2040,7105
2041,7108
2042,7112
2043,7118
2044,7122
2045,7123
2046,7125
2047,7126
2048,7128
2049,7129
2050,7132
2051,7134
2052,7136
2053,7139
2054,7142
2055,7144
2056,7145
2057,7146
2058,7147
2059,7148
2060,7149
2061,7150
2062,7151
2063,7152
2064,7156
2065,7157
2066,7158
2067,7160
2068,7163
2069,7164
2070,7166
2071,7168
2072,7169
2073,7170
2074,7177
2075,7178
2076,7179
2077,7180
2078,7181
2079,7186
2080,7187
2081,7190
2082,7196
2083,7199
2084,7202
2085,7203
2086,7206
2087,7212
2088,7214
2089,7216
2090,7224
2091,7225
2092,7226
2093,7228
2094,7229
2095,7233
2096,7238
2097,7239
2098,7244
2099,7245
2100,7251
2101,7255
2102,7256
2103,7258
2104,7261
2105,7265
2106,7269
2107,7272
2108,7273
2109,7274
2110,7276
2111,7278
2112,7279
2113,7280
2114,7283
2115,7288
2116,7289
2117,7290
2118,7292
2119,7295
2120,7298
2121,7314
2122,7315
2123,7320
2124,7321
2125,7322
2126,7323
2127,7324
2128,7325
2129,7327
2130,7329
2131,7331
2132,7339
2133,7345
2134,7348
2135,7349
2136,7351
2137,7352
2138,7356
2139,7357
2140,7359
2141,7363
2142,7366
2143,7370
2144,7372
2145,7373
2146,7376
2147,7378
2148,7380
2149,7381
2150,7384
2151,7385
2152,7389
2153,7390
2154,7393
2155,7394
2156,7395
2157,7399
2158,7404
2159,7405
2160,7410
2161,7411
2162,7416
2163,7418
2164,7421
2165,7423
2166,7424
2167,7426
2168,7427
2169,7428
2170,7429
2171,7431
2172,7432
2173,7435
2174,7437
2175,7439
